"","name","heatmap","time","memory"
"1","5k_",FALSE,5.41,72.0613708496094
"2","5k_",FALSE,5.25,71.4400329589844
"3","5k_",FALSE,5.61,77.4091186523438
"4","5k_",FALSE,5.54,71.5629653930664
"5","5k_",FALSE,5.08,71.4838638305664
"6","10k_",FALSE,5.62,77.3283309936523
"7","10k_",FALSE,5.43,77.4103469848633
"8","10k_",FALSE,5.58,77.2576370239258
"9","10k_",FALSE,5.72,77.4099197387695
"10","10k_",FALSE,5.48,77.4099197387695
"11","25k_",FALSE,5.95,77.3659515380859
"12","25k_",FALSE,5.87,76.0392227172852
"13","25k_",FALSE,5.83,77.361213684082
"14","25k_",FALSE,5.8,75.9635238647461
"15","25k_",FALSE,5.53,77.3375244140625
"16","50k_",FALSE,6.29,77.2862777709961
"17","50k_",FALSE,6.13,77.2862777709961
"18","50k_",FALSE,6.12,77.2657089233398
"19","50k_",FALSE,6.2,77.2863693237305
"20","50k_",FALSE,5.98,77.4084930419922
"21","100k_",FALSE,7.38,94.0234680175781
"22","100k_",FALSE,6.87,93.6479187011719
"23","100k_",FALSE,6.71,94.0234680175781
"24","100k_",FALSE,6.52,94.0577239990234
"25","100k_",FALSE,6.3,94.0235595703125
"26","250k_",FALSE,7.41,92.9209594726562
"27","250k_",FALSE,7.46,92.9209594726562
"28","250k_",FALSE,7.49,92.9209594726562
"29","250k_",FALSE,6.97,93.2702178955078
"30","250k_",FALSE,7.17,93.3174743652344
"31","500k_",FALSE,7.83,94.364128112793
"32","500k_",FALSE,7.74,94.9102935791016
"33","500k_",FALSE,7.52,95.2044143676758
"34","500k_",FALSE,7.21,94.9103469848633
"35","500k_",FALSE,7.34,94.9103851318359
"36","1m_",FALSE,7.78,93.6827239990234
"37","1m_",FALSE,7.74,94.6575775146484
"38","1m_",FALSE,7.67,93.6827239990234
"39","1m_",FALSE,7.62,94.6576690673828
"40","1m_",FALSE,7.56,93.6625366210938
"41","1.5m_",FALSE,8.03,111.994750976562
"42","1.5m_",FALSE,8.18,113.040672302246
"43","1.5m_",FALSE,8.36,112.01016998291
"44","1.5m_",FALSE,7.71,94.4692535400391
"45","1.5m_",FALSE,7.93,113.32780456543
"46","2m_",FALSE,8.93,95.6335601806641
"47","2m_",FALSE,8.39,104.450065612793
"48","2m_",FALSE,8.42,104.616882324219
"49","2m_",FALSE,8.46,94.1195373535156
"50","2m_",FALSE,8.15,94.1195373535156
